policy_domain,target_id,target_item_id,target_image_url,target_title,target_description,target_real_approval_label,target_predicted_approval_label,target_predicted_rejection_comment,example_id,example_item_id,example_image_url,example_title,example_description,example_approval_label,example_predicted_rejection_reason,example_predicted_sub_rejection,example_predicted_rejection_comment
Quality,151619137,3723858165,http://cdn.taboola.com/libtrc/static/thumbnails/2bdf33f58d056118e2b6109d76816bd7.jpg,From Zero to Financial Hero: Just Come & Let me Told you How you can do this in just one Year,(null),rejected,rejected,We found the language in the title:,174263801,3890909213,http://cdn.taboola.com/libtrc/static/thumbnails/STABLE_DIFFUSION/ESD/983cd363-6125-4903-a00f-b482b23e937a__I1yD7o97.jpg,NRI in ${country:capitalized}$: Get 5 Lakh Health Cover Only ₹300/Month,Buy/Renew best family health insurance plans online with maximum health cover.,approved,(null),(null),(null)
Quality,151619137,3723858165,http://cdn.taboola.com/libtrc/static/thumbnails/2bdf33f58d056118e2b6109d76816bd7.jpg,From Zero to Financial Hero: Just Come & Let me Told you How you can do this in just one Year,(null),rejected,rejected,We found the language in the title:,201353150,3954961155,http://cdn.taboola.com/libtrc/static/thumbnails/63cf2e8f22069b4a1e76c56a7adb5f6e.jpg,Remote Work: The Modern Solution,Project Management Jobs Remote Work From Home & Online,approved,(null),(null),(null)
Quality,151619137,3723858165,http://cdn.taboola.com/libtrc/static/thumbnails/2bdf33f58d056118e2b6109d76816bd7.jpg,From Zero to Financial Hero: Just Come & Let me Told you How you can do this in just one Year,(null),rejected,rejected,We found the language in the title:,147520786,3708254372,http://cdn.taboola.com/libtrc/static/thumbnails/5b6b50d8cb7ac96dd8af234ca0ff6ac3.jpg,Discovering Investment Opportunities Amid High Inflation,APAC Chief Economist shares where the opportunities lie on Series 3 of IC Your Trade.,approved,(null),(null),(null)
Quality,151619137,3723858165,http://cdn.taboola.com/libtrc/static/thumbnails/2bdf33f58d056118e2b6109d76816bd7.jpg,From Zero to Financial Hero: Just Come & Let me Told you How you can do this in just one Year,(null),rejected,rejected,We found the language in the title:,202199008,3955389237,http://cdn.taboola.com/libtrc/static/thumbnails/f568ab078be96be929cd003369a6532f.png,"Camp Lejeune victims may be eligible for over $550,000","The Government estimates it will pay veterans, the families of veterans, and civilians who lived or worked at Camp Lejeune over $21 billion. Victims and their family members can register for compensation in 2 to 3 minutes",approved,(null),(null),(null)
Quality,151619137,3723858165,http://cdn.taboola.com/libtrc/static/thumbnails/2bdf33f58d056118e2b6109d76816bd7.jpg,From Zero to Financial Hero: Just Come & Let me Told you How you can do this in just one Year,(null),rejected,rejected,We found the language in the title:,206539183,3975320589,http://cdn.taboola.com/libtrc/static/thumbnails/c40657a7ebd0c027fba34f9f3017705d.jpg,Search for apply for cashback rapid rewards points credit card south west marriott,Apply the Best Travel Credit Card Here,approved,(null),(null),(null)
Quality,151619137,3723858165,http://cdn.taboola.com/libtrc/static/thumbnails/2bdf33f58d056118e2b6109d76816bd7.jpg,From Zero to Financial Hero: Just Come & Let me Told you How you can do this in just one Year,(null),rejected,rejected,We found the language in the title:,204743616,3953348638,http://cdn.taboola.com/libtrc/static/thumbnails/GETTY_IMAGES/FKF/1315323354__0LiozfW1.jpg,Final Expense,LEAVE A LEGACY.PROTECTING YOU AND YOUR FAMLY.    VALUABLE SOLUTIONS. GET THE RIGHT LIFE INSURANCE POLICY FOR THE PROTECTION YOU NEED,rejected,TITLE_GRAMMAR,Used More Than One Uppercase Word,"We found the language in the title:

• Used more than one uppercase word.

For example: Entire description is in uppercase .

To improve your title, consider rewriting or restyling it with the correct capitalization, spelling, grammar or phrasing. "
Quality,151619137,3723858165,http://cdn.taboola.com/libtrc/static/thumbnails/2bdf33f58d056118e2b6109d76816bd7.jpg,From Zero to Financial Hero: Just Come & Let me Told you How you can do this in just one Year,(null),rejected,rejected,We found the language in the title:,157564225,3825099018,http://c3.taboola.com/libtrc/static/thumbnails/so_auto/f_jpg/v1696101295/uep0tulmvc1kkej52ylj.jpg,Descubra o Caminho Para o Sucesso Financeiro com Nosso App!,"Descubra o Segredo para Ganhar Dinheiro Online de Forma Fácil!"" - Nosso aplicativo torna isso possível. Transforme Seu Tempo Online em Ganhos Reais -  Não deixe seu tempo ser desperdiçado.",rejected,TITLE_GRAMMAR,Used Inconsistent/Incorrect Capitalization,"We found the language in the title:

• Used inconsistent/incorrect capitalization.


To improve your title, consider rewriting or restyling it with the correct capitalization, spelling, grammar or phrasing."
Quality,151619137,3723858165,http://cdn.taboola.com/libtrc/static/thumbnails/2bdf33f58d056118e2b6109d76816bd7.jpg,From Zero to Financial Hero: Just Come & Let me Told you How you can do this in just one Year,(null),rejected,rejected,We found the language in the title:,190691423,3930162727,http://cdn.taboola.com/libtrc/static/thumbnails/645294987128d6b0646662fcadd2cabd.jpg,${region:capitalized}: Notice for Cars Used Less Than 50 Miles/day,Do not pay your next car insurance bill until you read this…,rejected,TITLE_GRAMMAR,Used Incomplete/Incorrect Dki Code (Dynamic Keyword Insertion),"We found the language in the title:

• Used incomplete/incorrect DKI code (Dynamic Keyword Insertion).

For example: ${region:capitalized}:.

To improve your title, consider rewriting or restyling it with the correct capitalization, spelling, grammar or phrasing. "
Quality,151619137,3723858165,http://cdn.taboola.com/libtrc/static/thumbnails/2bdf33f58d056118e2b6109d76816bd7.jpg,From Zero to Financial Hero: Just Come & Let me Told you How you can do this in just one Year,(null),rejected,rejected,We found the language in the title:,187295792,3919860003,http://cdn.taboola.com/libtrc/static/thumbnails/b30a2711247d1955e327dad1d13cea69.jpg,21 Huge Discounts For ${city:capitalized }$ Residents Over 55,"Recent changes mean that you're probably due for a some huge discounts, freebies and more.",rejected,TITLE_GRAMMAR,Used Incomplete/Incorrect Dki Code (Dynamic Keyword Insertion),"We found the language in the title:

• Used incomplete/incorrect DKI code (Dynamic Keyword Insertion).

For example: ${city:capitalized }$.

To improve your title, consider rewriting or restyling it with the correct capitalization, spelling, grammar or phrasing. "
Quality,151619137,3723858165,http://cdn.taboola.com/libtrc/static/thumbnails/2bdf33f58d056118e2b6109d76816bd7.jpg,From Zero to Financial Hero: Just Come & Let me Told you How you can do this in just one Year,(null),rejected,rejected,We found the language in the title:,199277270,3950178761,https://qg1.sharepoint.com/sites/NinjaTrader/Shared%20Documents/Rise%20-%20Internal/Creative/Phase%201%20Assets/Native/NT_Native_1.jpg,This FREE Platform is Built for Futures Trading,"NinjaTrader offers a fully customizable trading experience with 1000s of trading apps and add-ons, and multi-device trading.",rejected,THUMBNAIL_IMAGE_QUALITY,Used An Incorrect/Incomplete Url,"We found the thumbnail image was too poor quality for the widget. The thumbnail image:

• Used an incorrect/incomplete URL.

To improve your thumbnail image, consider replacing it with one that is better quality. "
