policy_domain,target_id,target_item_id,target_image_url,target_title,target_description,target_real_approval_label,target_predicted_approval_label,target_predicted_rejection_comment,example_id,example_item_id,example_image_url,example_title,example_description,example_approval_label,example_predicted_rejection_reason,example_predicted_sub_rejection,example_predicted_rejection_comment
Copyrights and Competitive Claims,149490737,3717357481,http://cdn.taboola.com/libtrc/static/thumbnails/c517db33f294fad8d29cef5b7e5b55dc.png,Three Lithium Stocks Primed for Rapid Gains in 2022,Expert believes these three lithium stocks could spike as electric cars go mainstream,approved,approved,(null),202764096,3957868995,http://cdn.taboola.com/libtrc/static/thumbnails/8218fcfe54337a5334c6534b68dbe3d1.png,The New £25 per Month Private Medical Insurance That's Sweeping the UK,Get a Free quote for Private Medical Insurance with Save Money Market,approved,(null),(null),(null)
Copyrights and Competitive Claims,149490737,3717357481,http://cdn.taboola.com/libtrc/static/thumbnails/c517db33f294fad8d29cef5b7e5b55dc.png,Three Lithium Stocks Primed for Rapid Gains in 2022,Expert believes these three lithium stocks could spike as electric cars go mainstream,approved,approved,(null),195580282,3941659205,http://cdn.taboola.com/libtrc/static/thumbnails/5f9fb08f12d6af7f877f044d51448d90.jpg,Trending Defense Stock,Dive into one of the most talked-about tech stocks of the year.,approved,(null),(null),(null)
Copyrights and Competitive Claims,149490737,3717357481,http://cdn.taboola.com/libtrc/static/thumbnails/c517db33f294fad8d29cef5b7e5b55dc.png,Three Lithium Stocks Primed for Rapid Gains in 2022,Expert believes these three lithium stocks could spike as electric cars go mainstream,approved,approved,(null),201212748,3954570171,http://cdn.taboola.com/libtrc/static/thumbnails/25f6de36aec607cfc03b38e85de11fe7.jpg,The Stock Everyone Has Their Eye On,Discover why this stock may soon populate every watchlist. Read now.,approved,(null),(null),(null)
Copyrights and Competitive Claims,149490737,3717357481,http://cdn.taboola.com/libtrc/static/thumbnails/c517db33f294fad8d29cef5b7e5b55dc.png,Three Lithium Stocks Primed for Rapid Gains in 2022,Expert believes these three lithium stocks could spike as electric cars go mainstream,approved,approved,(null),174855682,3891673575,http://cdn.taboola.com/libtrc/static/thumbnails/ebb88b412f16fb64bd7f79b237769366.png,"Track your portfolio, dividends, ETFs & more with Sharesight","Investors: track your portfolio, dividends, trades & more all in one place with Sharesight - try it for free today.",approved,(null),(null),(null)
Copyrights and Competitive Claims,149490737,3717357481,http://cdn.taboola.com/libtrc/static/thumbnails/c517db33f294fad8d29cef5b7e5b55dc.png,Three Lithium Stocks Primed for Rapid Gains in 2022,Expert believes these three lithium stocks could spike as electric cars go mainstream,approved,approved,(null),206725636,3438190032,http://cdn.taboola.com/libtrc/static/thumbnails/a03101940abc00ac70dce0ca729582eb.png,"Low fees, minimum deposits, and user-friendly platform - Start investing with eToro",(null),approved,(null),(null),(null)
Copyrights and Competitive Claims,149490737,3717357481,http://cdn.taboola.com/libtrc/static/thumbnails/c517db33f294fad8d29cef5b7e5b55dc.png,Three Lithium Stocks Primed for Rapid Gains in 2022,Expert believes these three lithium stocks could spike as electric cars go mainstream,approved,approved,(null),146508241,3704391198,http://cdn.taboola.com/libtrc/static/thumbnails/a8cb93f7d1b195db1ef284e8351036ea.jpg,Unveiling Tesla's Top-Secret Projects and Partnerships!,"Discover how Tesla's groundbreaking alliances with Ford and GM are catalyzing a paradigm shift in the EV industry, and what it could mean for you!",rejected,THUMBNAIL_RIGHTS_VIOLATION,Used An Unverified Brand Endorsement,"We found the claims made in the thumbnail image either needed further permissions or made unverified endorsement claims. The thumbnail image:

• Used an unverified brand endorsement.

For example: Tesla logo.

To improve your thumbnail image, submit documentation verifying the details of it to Taboola's legal team or consider replacing it with one that uses more reasonable claims. "
Copyrights and Competitive Claims,149490737,3717357481,http://cdn.taboola.com/libtrc/static/thumbnails/c517db33f294fad8d29cef5b7e5b55dc.png,Three Lithium Stocks Primed for Rapid Gains in 2022,Expert believes these three lithium stocks could spike as electric cars go mainstream,approved,approved,(null),145016493,3700250365,http://cdn.taboola.com/libtrc/static/thumbnails/fe063fccb529f46f5386d7515e7f3cac.png,New Policy Bringing Sunshine To All Aussies,(null),rejected,THUMBNAIL_RIGHTS_VIOLATION,Used An Unverified Government Endorsement,"We found the claims made in the thumbnail image either needed further permissions or made unverified endorsement claims. The thumbnail image: 
 
Used an unverified government endorsement. 
 
For example: Anthony Albanese

To improve your thumbnail image, submit documentation verifying the details of it to Taboola's legal team or consider replacing it with one that uses more reasonable claims."
Copyrights and Competitive Claims,149490737,3717357481,http://cdn.taboola.com/libtrc/static/thumbnails/c517db33f294fad8d29cef5b7e5b55dc.png,Three Lithium Stocks Primed for Rapid Gains in 2022,Expert believes these three lithium stocks could spike as electric cars go mainstream,approved,approved,(null),203651873,3959576379,http://cdn.taboola.com/libtrc/static/thumbnails/STABLE_DIFFUSION_OUTCROP/ESD/b6d16156-463e-42d1-82e8-3d31ad066b4c__UkghzCTF.jpg,Were You One Of The Millions Who Were Mis-sold Finance?,"A Free Online Check To See If You Were Mis-sold Car Finance Between 2007-2021. You Could Be Owed £1,000s",rejected,THUMBNAIL_RIGHTS_VIOLATION,NO_MATCH,(null)
Copyrights and Competitive Claims,149490737,3717357481,http://cdn.taboola.com/libtrc/static/thumbnails/c517db33f294fad8d29cef5b7e5b55dc.png,Three Lithium Stocks Primed for Rapid Gains in 2022,Expert believes these three lithium stocks could spike as electric cars go mainstream,approved,approved,(null),166086634,3874324325,http://cdn.taboola.com/libtrc/static/thumbnails/1ba6aabfb3dd37e898f3cc80bc28040e.png,"${region:capitalized}$: New ""Grocery Allowance"" Everyone on Medicare Can Apply for",(null),rejected,THUMBNAIL_RIGHTS_VIOLATION,NO_MATCH,Rejected by BS Bulk Update API
Copyrights and Competitive Claims,149490737,3717357481,http://cdn.taboola.com/libtrc/static/thumbnails/c517db33f294fad8d29cef5b7e5b55dc.png,Three Lithium Stocks Primed for Rapid Gains in 2022,Expert believes these three lithium stocks could spike as electric cars go mainstream,approved,approved,(null),194629739,3916127257,http://cdn.taboola.com/libtrc/static/thumbnails/4770f2cc30e05f72ba807b1e2a71bfa7.png,"Amazon Hates When You Do This, But They Can’t Stop You (It's Genius)","This simple trick can save tons of money on Amazon, but most Prime members are ignoring it.",rejected,THUMBNAIL_RIGHTS_VIOLATION,NO_MATCH,Rejected by BS Bulk Update API
