policy_domain,target_id,target_item_id,target_image_url,target_title,target_description,target_real_approval_label,target_predicted_approval_label,target_predicted_rejection_comment,example_id,example_item_id,example_image_url,example_title,example_description,example_approval_label,example_predicted_rejection_reason,example_predicted_sub_rejection,example_predicted_rejection_comment
Copyrights and Competitive Claims,149490737,3717357481,http://cdn.taboola.com/libtrc/static/thumbnails/c517db33f294fad8d29cef5b7e5b55dc.png,Three Lithium Stocks Primed for Rapid Gains in 2022,Expert believes these three lithium stocks could spike as electric cars go mainstream,approved,approved,(null),209957632,4038269542,http://cdn.taboola.com/libtrc/static/thumbnails/2c8af6fad1a8f3c141328aee13511b11.png,Seniors Born 1944-1973 With No Life Insurance Could Be Eligible For This,(null),approved,(null),(null),(null)
Copyrights and Competitive Claims,149490737,3717357481,http://cdn.taboola.com/libtrc/static/thumbnails/c517db33f294fad8d29cef5b7e5b55dc.png,Three Lithium Stocks Primed for Rapid Gains in 2022,Expert believes these three lithium stocks could spike as electric cars go mainstream,approved,approved,(null),209603783,4032395498,http://cdn.taboola.com/libtrc/static/thumbnails/d8a94c24e09bebae74b9ecdc71553656.jpg,Did You Get Your Free Timeshare Exit Kit?,"Find out if you qualify to cancel timeshare! Over 40,000 timeshares canceled. 3000 5 star reviews. 525 Million in timeshare debt eliminated.",approved,(null),(null),(null)
Copyrights and Competitive Claims,149490737,3717357481,http://cdn.taboola.com/libtrc/static/thumbnails/c517db33f294fad8d29cef5b7e5b55dc.png,Three Lithium Stocks Primed for Rapid Gains in 2022,Expert believes these three lithium stocks could spike as electric cars go mainstream,approved,approved,(null),206725605,3946812943,http://cdn.taboola.com/libtrc/static/thumbnails/6bb3a3b2c3b509d94433a5063c16254c.png,Millions of investors are flocking to this app [Discover why],Download eToro app,approved,(null),(null),(null)
Copyrights and Competitive Claims,149490737,3717357481,http://cdn.taboola.com/libtrc/static/thumbnails/c517db33f294fad8d29cef5b7e5b55dc.png,Three Lithium Stocks Primed for Rapid Gains in 2022,Expert believes these three lithium stocks could spike as electric cars go mainstream,approved,approved,(null),210027038,4041417208,http://cdn.taboola.com/libtrc/static/thumbnails/4574cebd83eceaaf6bd3f64bfce3b3c0.jpeg,"Support HelpAge India, Save Poor Elders",An act of kindness never goes unnoticed. Through donations not only get blessings from unfortunate elders but also save taxes under 80G,approved,(null),(null),(null)
Copyrights and Competitive Claims,149490737,3717357481,http://cdn.taboola.com/libtrc/static/thumbnails/c517db33f294fad8d29cef5b7e5b55dc.png,Three Lithium Stocks Primed for Rapid Gains in 2022,Expert believes these three lithium stocks could spike as electric cars go mainstream,approved,approved,(null),154388790,3731150319,http://cdn.taboola.com/libtrc/static/thumbnails/b6df9744fb2f0b63cf02be73ca785fca.jpg,Aussies Who Are In Debt Should Read This,Many Australians are taking advantage from this.,approved,(null),(null),(null)
Copyrights and Competitive Claims,149490737,3717357481,http://cdn.taboola.com/libtrc/static/thumbnails/c517db33f294fad8d29cef5b7e5b55dc.png,Three Lithium Stocks Primed for Rapid Gains in 2022,Expert believes these three lithium stocks could spike as electric cars go mainstream,approved,approved,(null),190907881,3931014597,http://cdn.taboola.com/libtrc/static/thumbnails/c9f8b22550dca8174852ff95e97d9d25.png,Seniors! Invest in Yourself: Search for Goldco Precious Metals,Invest in Precious Metals | Search Ads,approved,(null),(null),(null)
Copyrights and Competitive Claims,149490737,3717357481,http://cdn.taboola.com/libtrc/static/thumbnails/c517db33f294fad8d29cef5b7e5b55dc.png,Three Lithium Stocks Primed for Rapid Gains in 2022,Expert believes these three lithium stocks could spike as electric cars go mainstream,approved,approved,(null),133279052,3653776269,http://cdn.taboola.com/libtrc/static/thumbnails/326455c3ecf796a096325088e2c997d4.jpg,NRI in ${country:capitalized}$? Invest ₹18K/Month & Get ₹1Cr for your kids College in 15 years,(null),approved,(null),(null),(null)
Copyrights and Competitive Claims,149490737,3717357481,http://cdn.taboola.com/libtrc/static/thumbnails/c517db33f294fad8d29cef5b7e5b55dc.png,Three Lithium Stocks Primed for Rapid Gains in 2022,Expert believes these three lithium stocks could spike as electric cars go mainstream,approved,approved,(null),206895990,3979492566,http://cdn.taboola.com/libtrc/static/thumbnails/e393910b27d1244ef054268bb76d22d2.jpg,Why Q-Day Spells the End of Modern-Day Encryption,"The only thing that can prevent it is quantum-proof encryption, of the sort Scope Technologies has spent the past decade developing.",approved,(null),(null),(null)
Copyrights and Competitive Claims,149490737,3717357481,http://cdn.taboola.com/libtrc/static/thumbnails/c517db33f294fad8d29cef5b7e5b55dc.png,Three Lithium Stocks Primed for Rapid Gains in 2022,Expert believes these three lithium stocks could spike as electric cars go mainstream,approved,approved,(null),173975040,3889981983,http://cdn.taboola.com/libtrc/static/thumbnails/GETTY_IMAGES/FKF/1436162570__SgoxeLoS.jpg,Is Gold Still Worth Its Weight as a Safe Haven Investment?,Listen to the latest season of IC Your Trade to find out.,approved,(null),(null),(null)
Copyrights and Competitive Claims,149490737,3717357481,http://cdn.taboola.com/libtrc/static/thumbnails/c517db33f294fad8d29cef5b7e5b55dc.png,Three Lithium Stocks Primed for Rapid Gains in 2022,Expert believes these three lithium stocks could spike as electric cars go mainstream,approved,approved,(null),136752769,3670012380,http://cdn.taboola.com/libtrc/static/thumbnails/1d8dd5f850d19595c7b134654c04bd26.jpg,Here Are 7 Trending Discounts Seniors Only Get If They Ask,Great list of discounts and benefits for seniors in 2023.,approved,(null),(null),(null)
Copyrights and Competitive Claims,149490737,3717357481,http://cdn.taboola.com/libtrc/static/thumbnails/c517db33f294fad8d29cef5b7e5b55dc.png,Three Lithium Stocks Primed for Rapid Gains in 2022,Expert believes these three lithium stocks could spike as electric cars go mainstream,approved,approved,(null),187314605,3919876357,http://cdn.taboola.com/libtrc/static/thumbnails/813244d6cef86671f481d22d68f0a4f8.jpg,"US Residents Birthed Before 1976 Now Entitled To These ""Ridiculous"" Benefits In February
","Seniors who get less than $2,348/mo with SS are now getting these 24 ""Giveback"" benefits in 2024",approved,(null),(null),(null)
Copyrights and Competitive Claims,149490737,3717357481,http://cdn.taboola.com/libtrc/static/thumbnails/c517db33f294fad8d29cef5b7e5b55dc.png,Three Lithium Stocks Primed for Rapid Gains in 2022,Expert believes these three lithium stocks could spike as electric cars go mainstream,approved,approved,(null),195580281,3941659200,http://cdn.taboola.com/libtrc/static/thumbnails/60210773d4bd75d211aaad771dc47857.jpg,Top Tech Stock To Watch,Watch this trending tech stock now! Investors are captivated.,approved,(null),(null),(null)
