policy_domain,target_id,target_item_id,target_image_url,target_title,target_description,target_real_approval_label,target_predicted_approval_label,target_predicted_rejection_comment,example_id,example_item_id,example_image_url,example_title,example_description,example_approval_label,example_predicted_rejection_reason,example_predicted_sub_rejection,example_predicted_rejection_comment
Quality,151619137,3723858165,http://cdn.taboola.com/libtrc/static/thumbnails/2bdf33f58d056118e2b6109d76816bd7.jpg,From Zero to Financial Hero: Just Come & Let me Told you How you can do this in just one Year,(null),rejected,rejected,"We found the language in the title used poor phrasing/translation. The title ""From Zero to Financial Hero: Just Come & Let me Told you How you can do this in just one Year"" contains grammatical errors, such as ""Let me Told you"". To improve your title, consider rewriting or restyling it with the correct capitalization, spelling, grammar, or phrasing.",168542993,3879192806,http://cdn.taboola.com/libtrc/static/thumbnails/7b9e806f39c51c748438e805d3a15c37.png,Get Car Insurance at AED 450 to Apply for Renewal.,Online Car Insurance policy in just 5 easy steps. Save big on Car Insurance.Find It Here!,approved,(null),(null),(null)
Quality,151619137,3723858165,http://cdn.taboola.com/libtrc/static/thumbnails/2bdf33f58d056118e2b6109d76816bd7.jpg,From Zero to Financial Hero: Just Come & Let me Told you How you can do this in just one Year,(null),rejected,rejected,"We found the language in the title used poor phrasing/translation. The title ""From Zero to Financial Hero: Just Come & Let me Told you How you can do this in just one Year"" contains grammatical errors, such as ""Let me Told you"". To improve your title, consider rewriting or restyling it with the correct capitalization, spelling, grammar, or phrasing.",161618638,3841556565,http://cdn.taboola.com/libtrc/static/thumbnails/1539c4c5334f56243cf5351b4c861177.jpg,Stop The Criminal Process Before Court- Sue The Prosecutor,Learning how to stop legal corruption is a click away. Take control of your legal dispute using my non-conventional legal training videos and strategies and take control of any court case with no injured party or damage. Stop legal corruption today,approved,(null),(null),(null)
Quality,151619137,3723858165,http://cdn.taboola.com/libtrc/static/thumbnails/2bdf33f58d056118e2b6109d76816bd7.jpg,From Zero to Financial Hero: Just Come & Let me Told you How you can do this in just one Year,(null),rejected,rejected,"We found the language in the title used poor phrasing/translation. The title ""From Zero to Financial Hero: Just Come & Let me Told you How you can do this in just one Year"" contains grammatical errors, such as ""Let me Told you"". To improve your title, consider rewriting or restyling it with the correct capitalization, spelling, grammar, or phrasing.",154388790,3731150319,http://cdn.taboola.com/libtrc/static/thumbnails/b6df9744fb2f0b63cf02be73ca785fca.jpg,Aussies Who Are In Debt Should Read This,Many Australians are taking advantage from this.,approved,(null),(null),(null)
Quality,151619137,3723858165,http://cdn.taboola.com/libtrc/static/thumbnails/2bdf33f58d056118e2b6109d76816bd7.jpg,From Zero to Financial Hero: Just Come & Let me Told you How you can do this in just one Year,(null),rejected,rejected,"We found the language in the title used poor phrasing/translation. The title ""From Zero to Financial Hero: Just Come & Let me Told you How you can do this in just one Year"" contains grammatical errors, such as ""Let me Told you"". To improve your title, consider rewriting or restyling it with the correct capitalization, spelling, grammar, or phrasing.",171954006,3886018074,http://cdn.taboola.com/libtrc/static/thumbnails/ccb75b6ed66f091e0375e809bf13fbe9.jpg,Search for signup uhc medicare advantage unitedhealthcare advantage enroll,Discover Affordable Medicare Coverage Plans Here,approved,(null),(null),(null)
Quality,151619137,3723858165,http://cdn.taboola.com/libtrc/static/thumbnails/2bdf33f58d056118e2b6109d76816bd7.jpg,From Zero to Financial Hero: Just Come & Let me Told you How you can do this in just one Year,(null),rejected,rejected,"We found the language in the title used poor phrasing/translation. The title ""From Zero to Financial Hero: Just Come & Let me Told you How you can do this in just one Year"" contains grammatical errors, such as ""Let me Told you"". To improve your title, consider rewriting or restyling it with the correct capitalization, spelling, grammar, or phrasing.",144756991,3672188712,http://cdn.taboola.com/libtrc/static/thumbnails/36f473f4e0033b5022916b85e40c88f6.jpg,What Is The Best Stock of 2023? (SCE May Have Found It),"Wall Street is Shocked: Small Cap Exclusive Puts Their Reputation On The Line with A Risky Move. SCE stated, "" We may have uncovered the most exciting stock of 2023."" Click to learn more",approved,(null),(null),(null)
Quality,151619137,3723858165,http://cdn.taboola.com/libtrc/static/thumbnails/2bdf33f58d056118e2b6109d76816bd7.jpg,From Zero to Financial Hero: Just Come & Let me Told you How you can do this in just one Year,(null),rejected,rejected,"We found the language in the title used poor phrasing/translation. The title ""From Zero to Financial Hero: Just Come & Let me Told you How you can do this in just one Year"" contains grammatical errors, such as ""Let me Told you"". To improve your title, consider rewriting or restyling it with the correct capitalization, spelling, grammar, or phrasing.",202605981,3957534470,http://cdn.taboola.com/libtrc/static/thumbnails/43bb6cc540516d83656604ca25bb27bf.png,Unveiling a Bullish Stock Pick,Explore this captivating stock for investors. Find out why it's trending.,approved,(null),(null),(null)
Quality,151619137,3723858165,http://cdn.taboola.com/libtrc/static/thumbnails/2bdf33f58d056118e2b6109d76816bd7.jpg,From Zero to Financial Hero: Just Come & Let me Told you How you can do this in just one Year,(null),rejected,rejected,"We found the language in the title used poor phrasing/translation. The title ""From Zero to Financial Hero: Just Come & Let me Told you How you can do this in just one Year"" contains grammatical errors, such as ""Let me Told you"". To improve your title, consider rewriting or restyling it with the correct capitalization, spelling, grammar, or phrasing.",210175891,4046834972,http://cdn.taboola.com/libtrc/static/thumbnails/543e2ae27bba6d8f69c0866b8600bc79.jpg,Veterans and Asbestos Exposure | Sokolove Law,"Veterans fought bravely for our country, but many of them now face a new fight: mesothelioma. There is an elevated risk of mesothelioma in the veteran population since asbestos was used in all branches of the U.S. military.",approved,(null),(null),(null)
Quality,151619137,3723858165,http://cdn.taboola.com/libtrc/static/thumbnails/2bdf33f58d056118e2b6109d76816bd7.jpg,From Zero to Financial Hero: Just Come & Let me Told you How you can do this in just one Year,(null),rejected,rejected,"We found the language in the title used poor phrasing/translation. The title ""From Zero to Financial Hero: Just Come & Let me Told you How you can do this in just one Year"" contains grammatical errors, such as ""Let me Told you"". To improve your title, consider rewriting or restyling it with the correct capitalization, spelling, grammar, or phrasing.",145317551,3701341043,http://cdn.taboola.com/libtrc/static/thumbnails/c9cc002e7e7045406dc24fdbf5e45ad8.png,Octa FX Trading App,"Instant deposits to your trading accounts and Wallet
Fast withdrawals taking from a few seconds to a maximum of three hours
Instant transfers between trading accounts",approved,(null),(null),(null)
Quality,151619137,3723858165,http://cdn.taboola.com/libtrc/static/thumbnails/2bdf33f58d056118e2b6109d76816bd7.jpg,From Zero to Financial Hero: Just Come & Let me Told you How you can do this in just one Year,(null),rejected,rejected,"We found the language in the title used poor phrasing/translation. The title ""From Zero to Financial Hero: Just Come & Let me Told you How you can do this in just one Year"" contains grammatical errors, such as ""Let me Told you"". To improve your title, consider rewriting or restyling it with the correct capitalization, spelling, grammar, or phrasing.",191228429,3931523542,http://cdn.taboola.com/libtrc/static/thumbnails/STABLE_DIFFUSION/ESD/fdecd71b-20f3-4fd1-b830-7d1b189daa7f__6Y3ZTPys.jpg,Unlock Better Financial Standing,Discover simple steps to improve your credit score with our easy-to-follow guide.,approved,(null),(null),(null)
Quality,151619137,3723858165,http://cdn.taboola.com/libtrc/static/thumbnails/2bdf33f58d056118e2b6109d76816bd7.jpg,From Zero to Financial Hero: Just Come & Let me Told you How you can do this in just one Year,(null),rejected,rejected,"We found the language in the title used poor phrasing/translation. The title ""From Zero to Financial Hero: Just Come & Let me Told you How you can do this in just one Year"" contains grammatical errors, such as ""Let me Told you"". To improve your title, consider rewriting or restyling it with the correct capitalization, spelling, grammar, or phrasing.",207360137,3991545916,http://cdn.taboola.com/libtrc/static/thumbnails/f6aa002a3c86c1c55510d0142e445b32.png,Invest In Solar Power Through Farmland,Join savvy investors in securing prime farmland. Make a smart choice and join the billionaires who understand the power of farmland investing.,approved,(null),(null),(null)
