policy_domain,target_id,target_item_id,target_image_url,target_title,target_description,target_real_approval_label,target_predicted_approval_label,target_predicted_rejection_comment,target_violated_rule_ids,example_id,example_item_id,example_image_url,example_title,example_description,example_approval_label,example_predicted_rejection_reason,example_predicted_sub_rejection,example_predicted_rejection_comment
Quality,151619137,3723858165,http://cdn.taboola.com/libtrc/static/thumbnails/2bdf33f58d056118e2b6109d76816bd7.jpg,From Zero to Financial Hero: Just Come & Let me Told you How you can do this in just one Year,(null),rejected,rejected,"The title contains grammatical mistakes and excessive use of capital letters, such as ""Let me Told you"" and ""Hero."" Additionally, it uses misleading language by promising a transformation to a ""Financial Hero"" in just one year without substantiation.","[""9.2"", ""9.3""]",161306281,3842082973,http://cdn.taboola.com/libtrc/static/thumbnails/7f9081fffab21e4506944f22760093f4.png,Wills Written In ${city:capitalized}$ From Just £27.50,"For a limited time, you can get your Will drafted by experienced professionals for just £27.50 – a small investment that will provide peace of mind for years to come.",approved,(null),(null),(null)
Quality,151619137,3723858165,http://cdn.taboola.com/libtrc/static/thumbnails/2bdf33f58d056118e2b6109d76816bd7.jpg,From Zero to Financial Hero: Just Come & Let me Told you How you can do this in just one Year,(null),rejected,rejected,"The title contains grammatical mistakes and excessive use of capital letters, such as ""Let me Told you"" and ""Hero."" Additionally, it uses misleading language by promising a transformation to a ""Financial Hero"" in just one year without substantiation.","[""9.2"", ""9.3""]",150006490,3718862161,http://cdn.taboola.com/libtrc/static/thumbnails/a48e73e4aa732f317243769ac87f68e1.jpg,Massive Cast Benefits From Using ChatGPT,"How are people using ChatGPT to make money? AI and ChatGPT do not offer get-rich-quick schemes. But if you are willing to put in the time and couple ChatGPT with your other skills, you can easily earn $1,000 per month or more.",approved,(null),(null),(null)
Quality,151619137,3723858165,http://cdn.taboola.com/libtrc/static/thumbnails/2bdf33f58d056118e2b6109d76816bd7.jpg,From Zero to Financial Hero: Just Come & Let me Told you How you can do this in just one Year,(null),rejected,rejected,"The title contains grammatical mistakes and excessive use of capital letters, such as ""Let me Told you"" and ""Hero."" Additionally, it uses misleading language by promising a transformation to a ""Financial Hero"" in just one year without substantiation.","[""9.2"", ""9.3""]",209776099,4032681571,http://cdn.taboola.com/libtrc/static/thumbnails/d0a544dea770723987d037abb5407b89.png,Where do you have your money invested? See how Gold Can be your safest Option (Read More),Investing in gold is one of the safest way to build a strong financial nest for your future.,approved,(null),(null),(null)
Quality,151619137,3723858165,http://cdn.taboola.com/libtrc/static/thumbnails/2bdf33f58d056118e2b6109d76816bd7.jpg,From Zero to Financial Hero: Just Come & Let me Told you How you can do this in just one Year,(null),rejected,rejected,"The title contains grammatical mistakes and excessive use of capital letters, such as ""Let me Told you"" and ""Hero."" Additionally, it uses misleading language by promising a transformation to a ""Financial Hero"" in just one year without substantiation.","[""9.2"", ""9.3""]",188925280,3924188370,http://cdn.taboola.com/libtrc/static/thumbnails/de657cafd771be32afe22561c1a511bd.jpeg,Navigate Crypto Like a Pro: Essential course for Beginners!,"If you want to do as little as humanely possible to master crypto and Web 3.0, then this is for you. We use AI to teach you about crypto ten times faster!",approved,(null),(null),(null)
Quality,151619137,3723858165,http://cdn.taboola.com/libtrc/static/thumbnails/2bdf33f58d056118e2b6109d76816bd7.jpg,From Zero to Financial Hero: Just Come & Let me Told you How you can do this in just one Year,(null),rejected,rejected,"The title contains grammatical mistakes and excessive use of capital letters, such as ""Let me Told you"" and ""Hero."" Additionally, it uses misleading language by promising a transformation to a ""Financial Hero"" in just one year without substantiation.","[""9.2"", ""9.3""]",146625917,3705649217,http://cdn.taboola.com/libtrc/static/thumbnails/1abaeb368f0ad48038db89ff2887a776.jpg,CFDs: Investing $200 in Amazon can give you a second income,(null),approved,(null),(null),(null)
Quality,151619137,3723858165,http://cdn.taboola.com/libtrc/static/thumbnails/2bdf33f58d056118e2b6109d76816bd7.jpg,From Zero to Financial Hero: Just Come & Let me Told you How you can do this in just one Year,(null),rejected,rejected,"The title contains grammatical mistakes and excessive use of capital letters, such as ""Let me Told you"" and ""Hero."" Additionally, it uses misleading language by promising a transformation to a ""Financial Hero"" in just one year without substantiation.","[""9.2"", ""9.3""]",132250342,3629902188,https://blog.riamoneytransfer.com/wp-content/uploads/2023/01/Year-of-the-rabbit.png,How to send money this Lunar New Year,(null),rejected,THUMBNAIL_IMAGE_QUALITY,Used An Incorrect/Incomplete Url,"We found the thumbnail image was too poor quality for the widget. The thumbnail image: 

Used an incorrect/incomplete URL.

To improve your thumbnail image, consider replacing it with one that is better quality."
Quality,151619137,3723858165,http://cdn.taboola.com/libtrc/static/thumbnails/2bdf33f58d056118e2b6109d76816bd7.jpg,From Zero to Financial Hero: Just Come & Let me Told you How you can do this in just one Year,(null),rejected,rejected,"The title contains grammatical mistakes and excessive use of capital letters, such as ""Let me Told you"" and ""Hero."" Additionally, it uses misleading language by promising a transformation to a ""Financial Hero"" in just one year without substantiation.","[""9.2"", ""9.3""]",170250877,3882321224,http://cdn.taboola.com/libtrc/static/thumbnails/069b0f101bf8f26e6c387f69f4a9d802.png,DO NOT THROW AWAY Clothes you Do not need. See 5 Cool Things You can do.,"Buying Clothes is Super Fun, Learn what you can do when you do not need them anymore.",rejected,TITLE_GRAMMAR,Used More Than One Uppercase Word,"We found the language in the title:

• Used more than one uppercase word.

For example: DO NOT THROW AWAY.

To improve your title, consider rewriting or restyling it with the correct capitalization, spelling, grammar or phrasing.
"
Quality,151619137,3723858165,http://cdn.taboola.com/libtrc/static/thumbnails/2bdf33f58d056118e2b6109d76816bd7.jpg,From Zero to Financial Hero: Just Come & Let me Told you How you can do this in just one Year,(null),rejected,rejected,"The title contains grammatical mistakes and excessive use of capital letters, such as ""Let me Told you"" and ""Hero."" Additionally, it uses misleading language by promising a transformation to a ""Financial Hero"" in just one year without substantiation.","[""9.2"", ""9.3""]",158502411,3832736072,http://c3.taboola.com/libtrc/static/thumbnails/so_auto/f_jpg/v1696665367/wjbyoe7d0pjiefon3pkn.jpg,FIFA 2023 ULTIMATE TEAM MILLIONAIRE,How to Make Coins in FC24 in Autopilot with Zero Effort.,rejected,TITLE_GRAMMAR,Used More Than One Uppercase Word,"We found the language in the title:

• Used more than one uppercase word.

For example: FIFA 2023 ULTIMATE TEAM MILLIONAIRE.

To improve your title, consider rewriting or restyling it with the correct capitalization, spelling, grammar or phrasing. "
Quality,151619137,3723858165,http://cdn.taboola.com/libtrc/static/thumbnails/2bdf33f58d056118e2b6109d76816bd7.jpg,From Zero to Financial Hero: Just Come & Let me Told you How you can do this in just one Year,(null),rejected,rejected,"The title contains grammatical mistakes and excessive use of capital letters, such as ""Let me Told you"" and ""Hero."" Additionally, it uses misleading language by promising a transformation to a ""Financial Hero"" in just one year without substantiation.","[""9.2"", ""9.3""]",196414427,3943708638,http://cdn.taboola.com/libtrc/static/thumbnails/GETTY_IMAGES/SKP/500753117__xsDPiSew.jpg,"If you want to sell my house FAST & in ANY CONDITION, then House Buyer Network can help you.","If you own a house that you want sold fast, we can help by giving you a FAIR cash offer",rejected,TITLE_GRAMMAR,Used More Than One Uppercase Word,"We found the language in the title:

• Used more than one uppercase word.

For example: FAST & in ANY CONDITION.

To improve your title, consider rewriting or restyling it with the correct capitalization, spelling, grammar or phrasing. "
Quality,151619137,3723858165,http://cdn.taboola.com/libtrc/static/thumbnails/2bdf33f58d056118e2b6109d76816bd7.jpg,From Zero to Financial Hero: Just Come & Let me Told you How you can do this in just one Year,(null),rejected,rejected,"The title contains grammatical mistakes and excessive use of capital letters, such as ""Let me Told you"" and ""Hero."" Additionally, it uses misleading language by promising a transformation to a ""Financial Hero"" in just one year without substantiation.","[""9.2"", ""9.3""]",170653307,3883073311,http://cdn.taboola.com/libtrc/static/thumbnails/069b0f101bf8f26e6c387f69f4a9d802.png,DO NOT THROW AWAY THE CLOTHES YOU DO NOT NEED!!! 7 Cool Things you Can do With them.,Here are 7 cool things you can do with clothes that makes you some extra money or some extra fun cool things!,rejected,TITLE_GRAMMAR,Used More Than One Uppercase Word,"We found the language in the title:

• Used more than one uppercase word.

For example: DO NOT THROW AWAY THE CLOTHES YOU DO NOT NEED!!! 7 Cool Things you Can do With them..

To improve your title, consider rewriting or restyling it with the correct capitalization, spelling, grammar or phrasing. "
Quality,181143020,3906440413,http://cdn.taboola.com/libtrc/static/thumbnails/GETTY_IMAGES/SKP/532518085__JJ5s9pSz.jpg,Multiple Benefit Retirement Plan for NRIs. Get Monthly Payout of ₹ 2 Lacs. Invest Now!,Hurry Up ! To Know more about Multiple Benefits of Retirement Plans for NRIs. Click now on Get Quote.,approved,rejected,"The title and description contain excessive use of capital letters and grammatical mistakes, such as ""Hurry Up !"" with incorrect spacing.","[""9.2""]",178943018,3901458503,http://cdn.taboola.com/libtrc/static/thumbnails/00af34e3cfb36bf0b47a654a5dc68985.jpg,Multiple Benefit Retirement Plan for NRIs. Get Monthly Payout of ₹ 2 Lacs. Invest Now!,Hurry Up ! To Know more about Multiple Benefits of Retirement Plans for NRIs. Click now on Get Quote.,approved,(null),(null),(null)
Quality,181143020,3906440413,http://cdn.taboola.com/libtrc/static/thumbnails/GETTY_IMAGES/SKP/532518085__JJ5s9pSz.jpg,Multiple Benefit Retirement Plan for NRIs. Get Monthly Payout of ₹ 2 Lacs. Invest Now!,Hurry Up ! To Know more about Multiple Benefits of Retirement Plans for NRIs. Click now on Get Quote.,approved,rejected,"The title and description contain excessive use of capital letters and grammatical mistakes, such as ""Hurry Up !"" with incorrect spacing.","[""9.2""]",174638490,3891997044,http://cdn.taboola.com/libtrc/static/thumbnails/d5c8a9d1f833c2764bd7c63cc67b3282.jpg,Secure Your Retirement with ₹2 Lacs Monthly Pension,Hurry Up ! To Know more about Multiple Benefits of Retirement Plans for NRIs. Click now on Get Quote.,approved,(null),(null),(null)
Quality,181143020,3906440413,http://cdn.taboola.com/libtrc/static/thumbnails/GETTY_IMAGES/SKP/532518085__JJ5s9pSz.jpg,Multiple Benefit Retirement Plan for NRIs. Get Monthly Payout of ₹ 2 Lacs. Invest Now!,Hurry Up ! To Know more about Multiple Benefits of Retirement Plans for NRIs. Click now on Get Quote.,approved,rejected,"The title and description contain excessive use of capital letters and grammatical mistakes, such as ""Hurry Up !"" with incorrect spacing.","[""9.2""]",180168310,3904194247,http://cdn.taboola.com/libtrc/static/thumbnails/STABLE_DIFFUSION/ESD/90b0c824-0ca0-4e61-a84d-b543cf552865__RJwd0rmd.jpg,"NRI? Want ₹2 Lacs* Monthly Pension, After Age 60? Invest Rs.18k/Month & Secure Retirement",Hurry Up ! To Know more about Multiple Benefits of Retirement Plans for NRIs. Click now on Get Quote.,approved,(null),(null),(null)
Quality,181143020,3906440413,http://cdn.taboola.com/libtrc/static/thumbnails/GETTY_IMAGES/SKP/532518085__JJ5s9pSz.jpg,Multiple Benefit Retirement Plan for NRIs. Get Monthly Payout of ₹ 2 Lacs. Invest Now!,Hurry Up ! To Know more about Multiple Benefits of Retirement Plans for NRIs. Click now on Get Quote.,approved,rejected,"The title and description contain excessive use of capital letters and grammatical mistakes, such as ""Hurry Up !"" with incorrect spacing.","[""9.2""]",137208404,3673808667,http://cdn.taboola.com/libtrc/static/thumbnails/GETTY_IMAGES/SKP/483862595__MvUhX0H8.jpg,NRI in ${country:capitalized}$? Invest ₹18K/Month & Get ₹1Cr for your kids College in 15 years.,Hurry Up ! To Know more about Multiple Benefits of Retirement Plans for NRIs. Click now Read More.,approved,(null),(null),(null)
Quality,181143020,3906440413,http://cdn.taboola.com/libtrc/static/thumbnails/GETTY_IMAGES/SKP/532518085__JJ5s9pSz.jpg,Multiple Benefit Retirement Plan for NRIs. Get Monthly Payout of ₹ 2 Lacs. Invest Now!,Hurry Up ! To Know more about Multiple Benefits of Retirement Plans for NRIs. Click now on Get Quote.,approved,rejected,"The title and description contain excessive use of capital letters and grammatical mistakes, such as ""Hurry Up !"" with incorrect spacing.","[""9.2""]",139556154,3681194107,http://cdn.taboola.com/libtrc/static/thumbnails/5f65264743a54251c9180475e14fad36.jpg,Multiple Benefit Retirement Plan for NRIs.,"NRI? Want Rs.60k/Month, After Age 60? Invest RS.18k/Month & Secure Retirement.",approved,(null),(null),(null)
Quality,181143020,3906440413,http://cdn.taboola.com/libtrc/static/thumbnails/GETTY_IMAGES/SKP/532518085__JJ5s9pSz.jpg,Multiple Benefit Retirement Plan for NRIs. Get Monthly Payout of ₹ 2 Lacs. Invest Now!,Hurry Up ! To Know more about Multiple Benefits of Retirement Plans for NRIs. Click now on Get Quote.,approved,rejected,"The title and description contain excessive use of capital letters and grammatical mistakes, such as ""Hurry Up !"" with incorrect spacing.","[""9.2""]",138791184,3677875066,https://dx6isbzrbkxjw.cloudfront.net/uuid6424a694bfe674.50805927.png,Hidden Retirement Benefits Are Now Available in ${Region:Capitalized}$,(null),rejected,TITLE_GRAMMAR,Used Incomplete/Incorrect Dki Code (Dynamic Keyword Insertion),"We found the language in the title:


Used incomplete/incorrect DKI code (Dynamic Keyword Insertion).
For example: ${Region:Capitalized}$

To improve your title, consider rewriting or restyling it with the correct capitalization, spelling, grammar or phrasing."
Quality,181143020,3906440413,http://cdn.taboola.com/libtrc/static/thumbnails/GETTY_IMAGES/SKP/532518085__JJ5s9pSz.jpg,Multiple Benefit Retirement Plan for NRIs. Get Monthly Payout of ₹ 2 Lacs. Invest Now!,Hurry Up ! To Know more about Multiple Benefits of Retirement Plans for NRIs. Click now on Get Quote.,approved,rejected,"The title and description contain excessive use of capital letters and grammatical mistakes, such as ""Hurry Up !"" with incorrect spacing.","[""9.2""]",138791204,3677875067,https://dx6isbzrbkxjw.cloudfront.net/uuid6424a694bfe674.50805927.png,${Region:Capitalized}$ Seniors Shocked by These Hidden Retirement Benefits,(null),rejected,TITLE_GRAMMAR,Used Incomplete/Incorrect Dki Code (Dynamic Keyword Insertion),"We found the language in the title:


Used incomplete/incorrect DKI code (Dynamic Keyword Insertion).
For example: ${Region:Capitalized}$

To improve your title, consider rewriting or restyling it with the correct capitalization, spelling, grammar or phrasing."
Quality,181143020,3906440413,http://cdn.taboola.com/libtrc/static/thumbnails/GETTY_IMAGES/SKP/532518085__JJ5s9pSz.jpg,Multiple Benefit Retirement Plan for NRIs. Get Monthly Payout of ₹ 2 Lacs. Invest Now!,Hurry Up ! To Know more about Multiple Benefits of Retirement Plans for NRIs. Click now on Get Quote.,approved,rejected,"The title and description contain excessive use of capital letters and grammatical mistakes, such as ""Hurry Up !"" with incorrect spacing.","[""9.2""]",154998419,3731345210,http://cdn.taboola.com/libtrc/static/thumbnails/IMAGE_UPSCALER/EIU/b9a84e61-779b-48f8-af47-3479132aff2b__pcV7G1lH.jpg,"Seniors May Get Up To A $40,000 Final Expense Benefit (Only If You Request
",(null),rejected,TITLE_GRAMMAR,Used Incomplete/Incorrect Punctuation,"We found the language in the title:

• Used incomplete/incorrect punctuation.

For example: only used one parenthesis.

To improve your title, consider rewriting or restyling it with the correct capitalization, spelling, grammar or phrasing. "
Quality,181143020,3906440413,http://cdn.taboola.com/libtrc/static/thumbnails/GETTY_IMAGES/SKP/532518085__JJ5s9pSz.jpg,Multiple Benefit Retirement Plan for NRIs. Get Monthly Payout of ₹ 2 Lacs. Invest Now!,Hurry Up ! To Know more about Multiple Benefits of Retirement Plans for NRIs. Click now on Get Quote.,approved,rejected,"The title and description contain excessive use of capital letters and grammatical mistakes, such as ""Hurry Up !"" with incorrect spacing.","[""9.2""]",209326700,4031078386,http://cdn.taboola.com/libtrc/static/thumbnails/bb3042b241f6b7c525a1cdfd54cc2334.jpg,Little-Known Explorer Targets Up to 100M Tonnes of Copper!,"Little-Known Explorer Targets Up To 100 Million Tonnes Of Domestic Copper Needed for AI, EVs, and Clean Energy Boom! Click Now for Ticker Symbol!",rejected,THUMBNAIL_POOR_EDITING_OR_CROPPING,Uses Poor Image Editing Or Cropping.,poor image cropping
Quality,181143020,3906440413,http://cdn.taboola.com/libtrc/static/thumbnails/GETTY_IMAGES/SKP/532518085__JJ5s9pSz.jpg,Multiple Benefit Retirement Plan for NRIs. Get Monthly Payout of ₹ 2 Lacs. Invest Now!,Hurry Up ! To Know more about Multiple Benefits of Retirement Plans for NRIs. Click now on Get Quote.,approved,rejected,"The title and description contain excessive use of capital letters and grammatical mistakes, such as ""Hurry Up !"" with incorrect spacing.","[""9.2""]",206638191,3975800120,http://cdn.taboola.com/libtrc/static/thumbnails/IMAGE_UPSCALER/EIU/41a03830-fe2b-428d-b8b4-2d0821577233__GjuLwO34.jpg,Buy Best Term Insurance Plan and Policy Online in India,Get 1 Cr. Term Plan Starting only @16/day*. Online discount of up to 15%*,rejected,THUMBNAIL_POOR_EDITING_OR_CROPPING,Uses Poor Image Editing Or Cropping.,Thumbnail used poor image quality
Quality,203160598,3958962946,http://cdn.taboola.com/libtrc/static/thumbnails/8e8ae979efec3753a74690e76c0419f7.jpg,(1) One New Rule for Drivers in ${uppercase:region}$,If you drive more than 5 miles a day this new policy renewal change will impact you directly.,rejected,rejected,Used incomplete/incorrect DKI code (Dynamic Keyword Insertion) in the title.,"[""9.5""]",199166685,3949725640,http://cdn.taboola.com/libtrc/static/thumbnails/GETTY_IMAGES/PDI/1443333732__ew553E2C.jpg,Who Actually Has the Cheapest Car Insurance?,"You could grab deep discounts on car insurance if you’re currently insured, have 3 years without a ticket, no DUIs, and drive less than 50 miles per day. ",approved,(null),(null),(null)
